"REF_DATE","GEO","DGUID","Vehicle Type","Fuel Type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total, road motor vehicle registrations","All fuel types","Number of vehicles","Number","223","units","0","v1446857913","1.1.1.1","24618831","","","","0"
"2017","Canada","2021A000011124","Total, road motor vehicle registrations","Gasoline","Number of vehicles","Number","223","units","0","v1446857914","1.1.2.1","22742978","","","","0"
"2017","Canada","2021A000011124","Total, road motor vehicle registrations","Diesel","Number of vehicles","Number","223","units","0","v1446857915","1.1.3.1","1656925","","","","0"
"2017","Canada","2021A000011124","Total, road motor vehicle registrations","Battery electric","Number of vehicles","Number","223","units","0","v1446857916","1.1.4.1","19926","","","","0"
"2017","Canada","2021A000011124","Total, road motor vehicle registrations","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857917","1.1.5.1","172069","","","","0"
"2017","Canada","2021A000011124","Total, road motor vehicle registrations","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857918","1.1.6.1","23881","","","","0"
"2017","Canada","2021A000011124","Total, road motor vehicle registrations","Other fuel types","Number of vehicles","Number","223","units","0","v1446857919","1.1.7.1","3052","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857920","1.2.1.1","22724146","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857921","1.2.2.1","21806878","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857922","1.2.3.1","701254","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857923","1.2.4.1","19633","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857924","1.2.5.1","172064","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857925","1.2.6.1","23881","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857926","1.2.7.1","436","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857927","1.3.1.1","10222376","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857928","1.3.2.1","9883094","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857929","1.3.3.1","170789","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857930","1.3.4.1","16287","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857931","1.3.5.1","130229","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857932","1.3.6.1","21934","","","","0"
"2017","Canada","2021A000011124","Passenger cars, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857933","1.3.7.1","43","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857934","1.4.1.1","6763798","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857935","1.4.2.1","6612488","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857936","1.4.3.1","105383","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857937","1.4.4.1","3291","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857938","1.4.5.1","40966","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857939","1.4.6.1","1655","","","","0"
"2017","Canada","2021A000011124","Multi-purpose vehicles, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857940","1.4.7.1","15","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857941","1.5.1.1","3824746","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857942","1.5.2.1","3443800","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857943","1.5.3.1","379909","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857944","1.5.4.1","16","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857945","1.5.5.1","867","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857946","1.5.6.1","0","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857947","1.5.7.1","154","","","","0"
"2017","Canada","2021A000011124","Vans, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857948","1.6.1.1","1909276","","","","0"
"2017","Canada","2021A000011124","Vans, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857949","1.6.2.1","1864478","","","","0"
"2017","Canada","2021A000011124","Vans, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857950","1.6.3.1","44298","","","","0"
"2017","Canada","2021A000011124","Vans, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857951","1.6.4.1","36","","","","0"
"2017","Canada","2021A000011124","Vans, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857952","1.6.5.1","1","","","","0"
"2017","Canada","2021A000011124","Vans, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857953","1.6.6.1","292","","","","0"
"2017","Canada","2021A000011124","Vans, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857954","1.6.7.1","171","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857955","1.7.1.1","3950","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857956","1.7.2.1","3018","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857957","1.7.3.1","875","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857958","1.7.4.1","3","","","","0"
